NM_001005484	OR4F5
NM_030652	EGFL8
NM_032741	AGPAT1
NM_006913	RNF5
NM_001206929	AGER
NM_002586	PBX2
NM_001276501	GPSM3
NM_004557	NOTCH4
NM_001286474	C6orf10
NM_019602	BTNL2
NM_019111	HLA-DRA
NM_002125	HLA-DRB5
NM_001243965	HLA-DRB1
NM_002122	HLA-DQA1
NM_001243961	HLA-DQB1
NM_020056	HLA-DQA2
NM_001300790	HLA-DQB2
NM_002120	HLA-DOB
NM_018833	TAP2
NM_148919	PSMB8
NM_000593	TAP1
NM_002800	PSMB9
NM_002118	HLA-DMB
ENST00000429234	XXbac-BPG181M17.5
NM_006120	HLA-DMA
NM_001199455	BRD2
NM_002119	HLA-DOA
NM_001242524	HLA-DPA1
NM_002121	HLA-DPB1
NM_080680	COL11A2
NM_001270401	RXRB
NM_001077516	SLC39A7
NM_014234	HSD17B8
NM_002931	RING1
NM_022553	VPS52
NM_022551	RPS18
NM_003782	B3GALT4
NM_005452	WDR46
NM_001265596	PFDN6
NM_004761	RGL2
NM_172208	TAPBP
NM_005453	ZBTB22
NM_001141970	DAXX
NM_002263	KIFC1
NM_024165	PHF1
NM_001014433	CUTA
NM_006772	SYNGAP1
NM_152735	ZBTB9
NM_001188	BAK1
ENST00000374458	GGNBP1
NM_002224	ITPR3
ENST00000594414	SBP1
NM_032340	UQCC2
NM_001142883	IP6K3
NM_181336	LEMD2
NM_002418	MLN
NM_000841	GRM4
NM_145901	HMGA1
NM_001287396	C6orf1
NM_006703	NUDT3
NM_001202470	RPS10-NUDT3
NM_001014	RPS10
NM_020804	PACSIN1
NM_012391	SPDEF
NM_024294	C6orf106
NM_003093	SNRPC
NM_017754	UHRF1BP1
NM_005643	TAF11
NM_015245	ANKS1A
NM_001093728	TCP11
NM_152753	SCUBE3
NM_003427	ZNF76
NM_022047	DEF6
NM_006238	PPARD
NM_021922	FANCE
NM_007104	RPL10A
NM_003214	TEAD3
NM_003322	TULP1
NM_004117	FKBP5
NM_145028	ARMC12
NM_001286550	CLPSL2
NM_001010886	CLPSL1
NM_001832	CLPS
NM_182548	LHFPL5
NM_003137	SRPK1
NM_001193476	SLC26A8
NM_139012	MAPK14
NM_002754	MAPK13
NM_015695	BRPF3
NM_001145717	PNPLA1
NM_001010903	C6orf222
NM_016135	ETV7
NM_152990	PXT1
NM_173562	KCTD20
NM_007271	STK38
NM_003017	SRSF3
NM_001291549	CDKN1A
NM_001257357	RAB44
NM_020939	CPNE5
NM_016059	PPIL1
NM_152734	C6orf89
NM_001199159	PI16
NM_001271641	MTCH1
NM_173558	FGD2
ENST00000423336	COX6A1P2
NM_001243186	PIM1
NM_145316	TMEM217
NM_017772	TBC1D22B
NM_003958	RNF8
NM_015050	CMTR1
NM_138493	CCDC167
NM_153487	MDGA1
NM_021943	ZFAND3
NM_052893	BTBD9
NM_006708	GLO1
ENST00000359357	DNAH8
NM_002062	GLP1R
NM_018322	SAYSD1
NM_003740	KCNK5
NM_031460	KCNK17
NM_032115	KCNK16
NM_145027	KIF6
NM_001201427	DAAM2
NM_005943	MOCS1
NM_020737	LRFN2
NM_173561	UNC5CL
NM_001159726	TSPO2
NM_006789	APOBEC2
NM_145063	OARD1
NM_002505	NFYA
NM_178174	TREML1
NM_018965	TREM2
NM_024807	TREML2
NM_198153	TREML4
NM_018643	TREM1
NM_001199509	NCR2
NM_001012426	FOXP4
NM_005586	MDFI
NM_001167827	TFEB
ENST00000597468	AL035588.1
NM_002630	PGC
NM_006653	FRS3
NM_013397	PRICKLE4
NM_001134493	TOMM6
NM_001286554	USP49
NM_004275	MED20
NM_004053	BYSL
NM_001760	CCND3
NM_138572	TAF8
NM_001164446	C6orf132
ENST00000372963	RP1-139D8.6
NM_000409	GUCA1A
NM_002098	GUCA1B
NM_018141	MRPS10
NM_001297573	TRERF1
NM_015255	UBR2
NM_000322	PRPH2
NM_003192	TBCC
NM_015349	GLTSCR1L
NM_198486	RPL7L1
NM_001008739	C6orf226
NM_001243168	PTCRA
NM_006586	CNPY3
NM_018960	GNMT
NM_000287	PEX6
NM_006245	PPP2R5D
NM_014623	MEA1
NM_057161	KLHDC3
NM_033112	RRP36
NM_001168370	CUL7
NM_015950	MRPL2
NM_201523	KLC4
NM_001270398	PTK7
NM_003131	SRF
NM_015089	CUL9
NM_006443	DNPH1
NM_032538	TTBK1
NM_153320	SLC22A7
NM_206922	CRIP3
NM_014345	ZNF318
NM_001198934	ABCC10
NM_206539	DLK2
NM_001146017	TJAP1
NM_001012974	LRRC73
NM_015388	YIPF3
NM_203290	POLR1C
NM_020750	XPO5
NM_006502	POLH
NM_019096	GTPBP2
NM_001003690	MAD2L1BP
NM_001193341	RSPH9
NM_018135	MRPS18A
NM_001025366	VEGFA
NM_153246	C6orf223
NM_032111	MRPL14
NM_018426	TMEM63B
NM_007058	CAPN11
NM_004955	SLC29A1
NM_001271969	HSP90AB1
NM_178148	SLC35B2
NM_004556	NFKBIE
NM_001137560	TMEM151B
ENST00000505802	RP11-444E17.6
NM_182539	TCTE1
NM_020745	AARS2
NM_145026	SPATS1
NM_001253	CDC5L
ENST00000595057	AL133262.1
NM_181356	SUPT3H
NM_001024630	RUNX2
NM_001114086	CLIC5
NM_014936	ENPP4
NM_021572	ENPP5
NM_001251974	RCAN2
NM_016593	CYP39A1
NM_004277	SLC25A27
NM_001010870	TDRD6
NM_005084	PLA2G7
NM_001162435	ANKRD66
NM_005588	MEP1A
NM_015234	GPR116
NM_153840	GPR110
NM_014452	TNFRSF21
NM_012120	CD2AP
NM_153839	GPR111
NM_153838	GPR115
NM_181744	OPN5
NM_001013732	PTCHD4
NM_000255	MUT
NM_018132	CENPQ
NM_001010904	GLYATL3
NM_001145652	C6orf141
NM_000324	RHAG
NM_001142408	CRISP2
NM_001190986	CRISP3
NM_138733	PGK2
NM_001131	CRISP1
NM_001166478	DEFB133
NM_001037499	DEFB114
NM_001037729	DEFB113
NM_001037497	DEFB110
NM_001037498	DEFB112
NM_172238	TFAP2D
NM_003221	TFAP2B
NM_138694	PKHD1
NM_002190	IL17A
NM_052872	IL17F
NM_002388	MCM3
NM_133367	PAQR8
NM_018100	EFHC1
NM_012288	TRAM2
NM_014051	TMEM14A
NM_000846	GSTA2
NM_145740	GSTA1
NM_153699	GSTA5
NM_000847	GSTA3
NM_001512	GSTA4
NM_014920	ICK
NM_033480	FBXO9
NM_003643	GCM1
NM_001242828	ELOVL5
NM_001498	GCLC
NM_001003760	KLHL31
NM_018214	LRRC1
NM_001281747	MLIP
NM_014464	TINAG
NM_001010872	FAM83B
NM_001526	HCRTR2
NM_207410	GFRAL
NM_019036	HMGCLL1
NM_021073	BMP5
NM_030820	COL21A1
NM_001144769	DST
NM_152731	BEND6
NM_020931	KIAA1586
NM_001031623	ZNF451
NM_004282	BAG2
NM_016277	RAB23
NM_000947	PRIM2
NM_001190706	MTRNR2L9
NM_152688	KHDRBS2
ENST00000370659	FKBP1C
NM_016571	LGSN
NM_003463	PTP4A1
NM_015153	PHF3
NM_001292009	EYS
NM_001271675	LOC441155
NM_001704	BAI3
NM_018368	LMBRD1
NM_001858	COL19A1
NM_001851	COL9A1
NM_001162529	FAM135A
NM_145267	C6orf57
NM_001044305	SMAP1
NM_080742	B3GAT2
NM_024576	OGFRL1
NM_014989	RIMS1
NM_001160133	KCNQ5
NM_001126063	KHDC1L
ENST00000423730	RP11-257K9.8
NM_001251874	KHDC1
NM_001025290	DPPA5
NM_001017361	KHDC3L
NM_001080507	OOEP
NM_018665	DDX43
NM_138441	MB21D1
NM_001123226	MTO1
NM_001402	EEF1A1
NM_012434	SLC17A5
NM_133493	CD109
NM_004370	COL12A1
NM_001865	COX7A2
NM_018247	TMEM30A
NM_001289987	FILIP1
NM_015571	SENP6
NM_004999	MYO6
NM_001563	IMPG1
NM_000863	HTR1B
NM_001282136	MEI4
NM_001010844	IRAK1BP1
NM_017934	PHIP
NM_001201363	HMGN3
NM_181714	LCA5
NM_031469	SH3BGRL2
NM_001243308	C6orf7
NM_022726	ELOVL4
NM_003318	TTK
NM_000056	BCKDHB
ENST00000597800	AL359693.1
NM_017633	FAM46A
NM_015525	IBTK
NM_001166392	TPBG
NM_198920	UBE3D
ENST00000398400	AL139333.1
NM_001199942	DOPEY1
NM_001199917	PGM3
NM_033411	RWDD2A
NM_002395	ME1
NM_153362	PRSS35
NM_001242792	SNAP91
NM_001009994	RIPPLY2
NM_016230	CYB5R4
NM_138409	MRAP2
NM_014895	CEP162
ENST00000403245	KIAA1009
NM_001080508	TBX18
NM_002526	NT5E
NM_153816	SNX14
ENST00000503906	RP11-321N4.5
NM_006372	SYNCRIP
NM_000865	HTR1E
NM_001252383	CGA
NM_015021	ZNF292
NM_198568	GJB7
ENST00000448282	RP1-102H19.8
NM_020425	SMIM8
NM_001010868	C6orf163
ENST00000369570	C6orf164
ENST00000369562	C6ORF165
NM_001031743	C6orf165
NM_006416	SLC35A1
NM_020320	RARS2
NM_181837	ORC3
NM_018064	AKIRIN2
NM_030960	SPACA1
NM_001160259	CNR1
NM_003800	RNGTT
ENST00000369474	AL079342.1
NM_006813	PNRC1
NM_080743	SRSF12
NM_001010853	PM20D2
NM_002042	GABRR1
NM_002043	GABRR2
NM_016021	UBE2J1
NM_021244	RRAGD
NM_001242809	ANKRD6
NM_020466	LYRM2
NM_014611	MDN1
NM_001137668	CASP8AP2
NM_032602	GJA10
NM_001170794	BACH2
NM_145331	MAP3K7
NM_004440	EPHA7
NM_024641	MANEA
NM_006581	FUT9
NM_015323	UFL1
NM_001170807	FHL5
NM_030784	GPR63
NM_014165	NDUFAF4
NM_052904	KLHL32
NM_198468	MMS22L
NM_005604	POU3F2
NM_001278716	FBXL4
NM_032511	FAXC
NM_017421	COQ3
NM_032870	PNISR
NM_001080481	USP45
NM_001195131	TSTD3
NM_005190	CCNC
NM_021620	PRDM13
NM_001040179	MCHR2
NM_005068	SIM1
NM_006828	ASCC3
NM_021956	GRIK2
NM_020771	HACE1
NM_001004317	LIN28B
NM_147147	BVES
NM_022361	POPDC3
NM_002726	PREP
NM_001198	PRDM1
NM_004849	ATG5
NM_001624	AIM1
NM_032730	RTN4IP1
NM_018292	QRSL1
NM_001142470	C6orf203
NM_001080450	BEND3
NM_020381	PDSS2
NM_018013	SOBP
NM_198081	SCML4
NM_007214	SEC63
NM_014028	OSTM1
NM_001286102	NR2E1
NM_003795	SNX3
NM_145315	LACE1
NM_201559	FOXO3
NM_032131	ARMC2
NM_014454	SESN1
NM_001083535	CEP57L1
NM_001277339	LOC100996634
NM_001142403	CD164
NM_001111298	PPIL6
NM_003080	SMPD2
NM_001286613	MICAL1
NM_014797	ZBTB24
NM_001145128	AK9
NM_014845	FIG4
NM_001286099	GPR6
NM_003931	WASF1
NM_015891	CDC40
NM_001123364	METTL24
NM_003649	DDO
NM_033125	SLC22A16
NM_015076	CDK19
NM_001634	AMD1
NM_138408	GTF3C6
NM_032194	RPF2
NM_018593	SLC16A10
NM_153369	KIAA1919
NM_002912	REV3L
NM_147686	TRAF3IP2
NM_002037	FYN
NM_198239	WISP3
NM_016262	TUBE1
NM_001033564	FAM229B
NM_001105206	LAMA4
NM_001013734	RFPL4B
NM_002356	MARCKS
NM_001527	HDAC2
NM_153612	HS3ST5
NM_002031	FRK
NM_152729	NT5DC1
NM_000493	COL10A1
ENST00000430695	AL121963.1
NM_021648	TSPYL4
NM_003309	TSPYL1
NM_013352	DSE
NM_001010919	FAM26F
NM_001139444	TRAPPC3L
NM_153711	FAM26E
NM_001256888	FAM26D
NM_015952	RWDD1
NM_001010892	RSPH4A
NM_145062	ZUFSP
NM_002269	KPNA5
NM_001085480	FAM162B
NM_148963	GPRC6A
NM_173560	RFX6
NM_182645	VGLL2
NM_002944	ROS1
NM_173674	DCBLD1
NM_020399	GOPC
NM_138459	NUS1
NM_001029858	SLC35F1
NM_001178035	CEP85L
NM_002667	PLN
NM_017696	MCM9
NM_014034	ASF1A
NM_024581	FAM184A
NM_005907	MAN1A1
NM_152730	TBC1D32
NM_000165	GJA1
NM_004506	HSF2
NM_020755	SERINC1
NM_001270394	PKIB
NM_001446	FABP7
NM_006714	SMPDL3A
NM_001010852	CLVS2
NM_006073	TRDN
NM_001040214	NKAIN2
NM_001286398	RNF217
NM_003287	TPD52L1
NM_016063	HDDC2
NM_012259	HEY2
NM_001199620	NCOA7
NM_138571	HINT3
NM_001031712	TRMT11
NM_001286524	CENPW
NM_032784	RSPO3
NM_001242849	RNF146
NM_001139510	ECHDC1
NM_014702	KIAA0408
NM_001012279	SOGA3
NM_001010905	C6orf58
NM_001164685	THEMIS
NM_001291981	PTPRK
NM_000426	LAMA2
NM_033515	ARHGAP18
NM_001010876	TMEM244
NM_032438	L3MBTL3
NM_001277185	SAMD3
NM_001258278	TMEM200A
NM_001195597	SMLR1
NM_001431	EPB41L2
NM_016377	AKAP7
NM_001244438	ARG1
NM_015979	MED23
NM_005021	ENPP3
NM_030908	OR2A4
NM_001145659	CTAGE9
NM_006208	ENPP1
NM_001901	CTGF
NM_015529	MOXD1
NM_003569	STX7
NM_175057	TAAR9
NM_053278	TAAR8
NM_175067	TAAR6
NM_003967	TAAR5
NM_001033080	TAAR2
NM_138327	TAAR1
NM_004666	VNN1
NM_001291702	VNN3
NM_004665	VNN2
NM_052831	SLC18B1
NM_001016	RPS12
NM_001301013	EYA4
NM_003206	TCF21
NM_004865	TBPL1
NM_145176	SLC2A12
NM_001143676	SGK1
NM_022568	ALDH8A1
NM_006620	HBS1L
NM_001130173	MYB
NM_017651	AHI1
NM_018945	PDE7B
NM_138419	MTFR2
NM_014739	BCLAF1
NM_001198609	MAP7
NM_005923	MAP3K5
NM_000288	PEX7
NM_001008783	SLC35D3
NM_014432	IL20RA
NM_052962	IL22RA2
NM_000416	IFNGR1
NM_175747	OLIG3
NM_001270508	TNFAIP3
NM_022121	PERP
NM_020340	KIAA1244
NM_021635	PBOV1
ENST00000573100	RP3-422G23.4
NM_014320	HEBP2
NM_001144060	NHSL1
NM_001242740	LOC100507462
NM_015439	CCDC28A
NM_001195037	ECT2L
NM_001286611	REPS1
NM_021243	ABRACL
NM_016217	HECA
NM_153235	TXLNB
NM_001168389	CITED2
NM_002511	NMBR
ENST00000450456	GJE1
NM_016485	VTA1
NM_198569	GPR126
NM_006734	HIVEP2
NM_016108	AIG1
NM_182503	ADAT2
ENST00000595616	AL031320.1
NM_003630	PEX3
NM_032020	FUCA2
NM_001100164	PHACTR2
ENST00000545614	RP3-468K18.5
NM_032860	LTV1
NM_001013623	ZC2HC1B
NM_001080952	PLAGL1
NM_031287	SF3B5
NM_003764	STX11
NM_007124	UTRN
NM_001018041	EPM2A
NM_032145	FBXO30
NM_001042683	SHPRH
NM_001278064	GRM1
NM_006834	RAB32
NM_024694	ADGB
NM_001127715	STXBP5
NM_001030060	SAMD5
NM_015278	SASH1
NM_005715	UST
NM_001292034	TAB2
NM_001002255	SUMO4
NM_207360	ZC3H12D
NM_139126	PPIL4
NM_138785	GINM1
NM_007044	KATNA1
NM_004690	LATS1
NM_198887	NUP43
NM_001252049	PCMT1
NM_032832	LRP11
NM_139165	RAET1E
NM_001001788	RAET1G
NM_025217	ULBP2
NM_025218	ULBP1
NM_130900	RAET1L
NM_024518	ULBP3
NM_030949	PPP1R14C
NM_001164694	IYD
NM_001029884	PLEKHG1
NM_001242767	MTHFD1L
NM_005100	AKAP12
NM_020861	ZBTB2
NM_017909	RMND1
NM_024573	C6orf211
NM_025059	CCDC170
NM_001291230	ESR1
NM_182961	SYNE1
NM_025107	MYCT1
NM_003381	VIP
NM_012177	FBXO5
NM_019041	MTRF1L
NM_012419	RGS17
ENST00000392385	AL590867.1
NM_001285524	OPRM1
NM_001130699	IPCEF1
NM_173515	CNKSR3
NM_001286189	SCAF8
NM_012454	TIAM2
NM_016020	TFB1M
NM_001001346	CLDN20
NM_015718	NOX3
NM_020732	ARID1B
NM_018452	TMEM242
NM_024630	ZDHHC14
NM_016224	SNX9
NM_003898	SYNJ2
NM_032861	SERAC1
NM_207118	GTF2H5
NM_020245	TULP4
NM_020823	TMEM181
ENST00000397897	AL591025.1
NM_006519	DYNLT1
NM_001242394	SYTL3
NM_003379	EZR
NM_001195032	C6orf99
NM_031924	RSPH3
NM_054114	TAGAP
NM_032532	FNDC1
NM_001024465	SOD2
NM_001270531	WTAP
NM_005891	ACAT2
NM_030752	TCP1
NM_014161	MRPL18
NM_001271862	PNLDC1
NM_002377	MAS1
NM_000876	IGF2R
NM_003057	SLC22A1
NM_003058	SLC22A2
NM_021977	SLC22A3
NM_005577	LPA
NM_000301	PLG
NM_005922	MAP3K4
NM_020133	AGPAT4
NM_004562	PARK2
NM_152410	PACRG
ENST00000419182	AL078585.1
NM_006775	QKI
NM_144980	C6orf118
NM_001130690	PDE10A
ENST00000545867	SDIM1
NM_003181	T
NM_175922	PRR18
NM_145169	SFT2D1
NM_016098	MPC1
NM_001006932	RPS6KA2
ENST00000598601	Z98049.1
ENST00000507747	RP11-514O12.4
NM_003730	RNASET2
NM_007045	FGFR1OP
NM_031409	CCR6
NM_005299	GPR31
NM_001145121	TCP10L2
NM_018974	UNC93A
NM_031949	TTLL2
NM_004610	TCP10
ENST00000495520	C6orf123
ENST00000597278	AL009178.1
NM_001291964	MLLT4
NM_001129895	HGC6.3
NM_030615	KIF25
NM_024919	FRMD1
NM_214462	DACT2
NM_022138	SMOC2
NM_003247	THBS2
NM_182552	WDR27
NM_001029863	C6orf120
NM_018288	PHF10
NM_174910	TCTE3
NM_018341	ERMARD
NM_005618	DLL1
NM_001286380	FAM120B
NM_002793	PSMB1
NM_003194	TBP
NM_002598	PDCD2
NM_020223	FAM20C
ENST00000514988	AC145676.2
ENST00000599994	AC187652.1
NM_001195127	WI2-2373I1.2
NM_002607	PDGFA
NM_001164758	PRKAR1B
NM_017802	HEATR2
NM_001130965	SUN1
NM_015949	GET4
NM_001284308	ADAP1
NM_001031617	COX19
NM_017781	CYP2W1
NM_032350	C7orf50
NM_138445	GPR146
NM_001505	GPER1
NM_182491	ZFAND2A
NM_001080461	UNCX
NM_182924	MICALL2
NM_001080453	INTS1
NM_002360	MAFK
NM_001097620	TMEM184A
NM_032302	PSMG3
ENST00000382528	AC074389.6
NM_001128636	ELFN1
NM_003550	MAD1L1
ENST00000402221	AC110781.3
NM_013393	FTSJ2
NM_198949	NUDT1
NM_013321	SNX8
NM_003751	EIF3B
NM_001243794	CHST12
NM_001291784	GRIFIN
NM_001040167	LFNG
NM_152743	BRAT1
NM_152558	IQCE
NM_025250	TTYH3
NM_133463	AMZ1
NM_007353	GNA12
NM_032415	CARD11
ENST00000402115	AC091801.1
NM_152744	SDK1
NM_001037165	FOXK1
NM_014855	AP5Z1
NM_018059	RADIL
NM_020144	PAPOLB
NM_001100600	MMD2
NM_001204456	RBAK
NM_001204513	RBAK-RBAKDN
NM_015610	WIPI2
NM_001040661	SLC29A4
NM_001080495	TNRC18
NM_024963	FBXL18
NM_001101	ACTB
NM_003088	FSCN1
NM_207111	RNF216
NM_001097622	OCM
NM_015622	CCZ1
NM_173565	RSPH10B
NM_001099697	RSPH10B2
NM_000535	PMS2
NM_006303	AIMP2
NM_014413	EIF2AK1
NM_001271700	ANKRD61
NM_032172	USP42
NM_004227	CYTH3
NM_001037163	FAM220A
NM_018890	RAC1
NM_139179	DAGLB
NM_006854	KDELR2
ENST00000601673	FLJ20306
NM_001145118	GRID2IP
NM_018106	ZDHHC4
NM_024067	C7orf26
NM_017560	ZNF853
NM_001278559	ZNF316
ENST00000401847	AC073343.1
NM_016265	ZNF12
NM_198097	CCZ1B
NM_020156	C1GALT1
NM_001037763	COL28A1
NM_019005	MIOS
NM_002947	RPA3
ENST00000406829	RPA3-AS1
NM_138426	GLCCI1
NM_001136020	ICA1
NM_152745	NXPH1
NM_002489	NDUFA4
NM_014660	PHF14
NM_015204	THSD7A
NM_001134232	TMEM106B
NM_001135924	VWDE
NM_001112706	SCIN
NM_001037164	ARL4A
NM_004956	ETV1
NM_004080	DGKB
NM_001004320	AGMO
NM_005924	MEOX2
NM_001101426	ISPD
NM_015464	SOSTDC1
NM_001195280	LRRC72
NM_020319	ANKMY2
NM_001159767	BZW2
NM_014399	TSPAN13
ENST00000597084	AC073333.1
NM_006408	AGR2
NM_176813	AGR3
NM_001621	AHR
NM_015132	SNX13
NM_175886	PRPS1L1
NM_178425	HDAC9
NM_000474	TWIST1
NM_152898	FERD3L
NM_001002926	TWISTNB
NM_152774	TMEM196
NM_182762	MACC1
NM_002214	ITGB8
NM_001163941	ABCB5
NM_182700	SP8
NM_003112	SP4
NM_001277115	DNAH11
NM_018719	CDCA7L
NM_012294	RAPGEF5
NM_001164460	STEAP1B
NM_000600	IL6
NM_019059	TOMM7
NM_032581	FAM126A
NM_001031710	KLHL7
ENST00000366347	AC005082.1
NM_007342	NUPL2
NM_001005340	GPNMB
NM_138446	MALSU1
NM_006547	IGF2BP3
NM_013293	TRA2A
NM_138771	CCDC126
NM_199136	FAM221A
NM_031414	STK31
NM_000905	NPY
NM_016447	MPP6
NM_001127453	DFNA5
NM_015550	OSBPL3
NM_018947	CYCS
NM_138811	C7orf31
NM_022150	NPVF
NM_004289	NFE2L3
NM_031243	HNRNPA2B1
NM_007276	CBX3
NM_001199835	SNX10
ENST00000242109	KIAA0087
NM_001145531	C7orf71
NM_003930	SKAP2
NM_005522	HOXA1
NM_006735	HOXA2
NM_030661	HOXA3
NM_002141	HOXA4
NM_019102	HOXA5
NM_024014	HOXA6
NM_006896	HOXA7
NM_152739	HOXA9
ENST00000470747	RP1-170O19.20
NM_018951	HOXA10
NM_005523	HOXA11
NM_000522	HOXA13
NM_001989	EVX1
NM_152740	HIBADH
NM_006024	TAX1BP1
NM_175061	JAZF1
NM_182898	CREB5
NM_014817	TRIL
NM_031311	CPVL
NM_001293069	CHN2
NM_175887	PRR15
NM_001080529	WIPF3
NM_001145514	SCRN1
NM_017946	FKBP14
NM_001197026	PLEKHA8
NM_152793	MTURN
NM_147128	ZNRF2
NM_006092	NOD1
NM_024051	GGCT
NM_002047	GARS
NM_001202475	CRHR2
ENST00000458257	INMT-FAM188B
NM_006774	INMT
NM_032222	FAM188B
NM_198098	AQP1
NM_000823	GHRHR
NM_001199635	ADCYAP1R1
NM_022728	NEUROD6
NM_001257968	CCDC129
NM_006658	PPP1R17
NM_001191058	PDE1C
NM_012322	LSM5
NM_015060	AVL9
NM_015483	KBTBD2
NM_001284341	FKBP9
NM_001002010	NT5C3A
NM_203288	RP9
NM_198428	BBS9
ENST00000311067	RP11-89N17.1
NM_133468	BMPER
ENST00000399077	AC005493.1
NM_001300935	NPSR1
NM_015283	DPY19L1
NM_001077653	TBX20
NM_022373	HERPUD2
NM_001788	SEPT7
ENST00000381493	PP13004
NM_030636	EEPD1
NM_001100425	KIAA0895
NM_018685	ANLN
NM_001177506	AOAH
NM_001206482	ELMO1
NM_181791	GPR141
NM_016616	NME8
NM_003014	SFRP4
NM_017549	EPDR1
NM_032016	STARD3NL
ENST00000436911	TRGC2
ENST00000390333	TRGJ2
ENST00000390334	TRGJP2
NM_001003806	TARP
ENST00000443402	TRGC1
ENST00000390337	TRGJ1
ENST00000390338	TRGJP
ENST00000390339	TRGJP1
ENST00000390340	TRGV11
ENST00000390341	TRGV10
ENST00000444775	TRGV9
ENST00000390343	TRGV8
ENST00000390344	TRGV5
ENST00000390345	TRGV4
ENST00000390346	TRGV3
ENST00000426402	TRGV2
ENST00000390348	TRGV1
NM_001635	AMPH
ENST00000409072	FAM183B
NM_014396	VPS41
NM_007252	POU6F2
NM_020192	YAE1D1
NM_005402	RALA
NM_003718	CDK13
NM_138701	MPLKIP
NM_001193311	SUGCT
NM_002192	INHBA
NM_000168	GLI3
NM_001099858	C7orf25
NM_002787	PSMA2
NM_031903	MRPL32
NM_015052	HECW1
NM_004760	STK17A
NM_018224	COA1
NM_000712	BLVRA
NM_032014	MRPS24
NM_001204871	URGCP-MRPS24
NM_001077663	URGCP
NM_015983	UBE2D4
NM_175064	SPDYE1
NM_001122956	DBNL
NM_000290	PGAM2
NM_013284	POLM
NM_001129	AEBP1
NM_006230	POLD2
NM_021223	MYL7
NM_000162	GCK
NM_006555	YKT6
NM_001220	CAMK2B
NM_015332	NUDCD3
NM_013389	NPC1L1
NM_019082	DDX56
NM_182547	TMED4
NM_002541	OGDH
NM_031449	ZMIZ2
NM_021130	PPIA
NM_012412	H2AFV
NM_033224	PURB
NM_033054	MYO1G
NM_001029835	CCM2
NM_001146334	NACAD
NM_001261834	TBRG4
NM_005856	RAMP3
NM_021116	ADCY1
ENST00000596600	AC096582.1
NM_000596	IGFBP1
NM_001013398	IGFBP3
ENST00000451905	AC011294.3
NM_022748	TNS3
NM_001123065	C7orf65
NM_138295	PKD1L1
NM_025031	C7orf69
NM_004507	HUS1
NM_152782	SUN3
NM_001100159	C7orf57
NM_003364	UPP1
NM_152701	ABCA13
ENST00000596947	AC004899.1
NM_198570	VWC2
NM_007009	ZPBP
NM_001161834	C7orf72
NM_006060	IKZF1
NM_001042762	FIGNL1
NM_000790	DDC
NM_005311	GRB10
NM_001287436	COBL
NM_182595	POM121L12
NM_001301009	VSTM2A
NM_001012456	SEC61G
NM_005228	EGFR
NM_018697	LANCL2
NM_030796	VOPP1
NM_207366	SEPT14
NM_182633	ZNF713
NM_015969	MRPS17
NM_001483	GBAS
NM_004577	PSPH
NM_001762	CCT6A
NM_001130069	SUMF2
NM_001258459	PHKG1
NM_016139	CHCHD2
NM_001145712	NUPR1L
NM_033273	ZNF479
NM_001159279	ZNF716
ENST00000456890	AC006455.1
ENST00000593633	AC073188.1
ENST00000550760	ZNF727
NM_001159522	ZNF727P
NM_001159524	ZNF735P
NM_153363	ZNF679
NM_001170905	ZNF736
NM_178558	ZNF680
NM_001282359	ZNF107
NM_001271639	ZNF138
NM_021148	ZNF273
NM_015852	ZNF117
NM_001007253	ERV3-1
NM_152626	ZNF92
ENST00000593865	AC104057.1
NM_173517	VKORC1L1
NM_000181	GUSB
NM_000048	ASL
ENST00000450043	AC068533.7
NM_014478	CRCP
NM_003596	TPST1
ENST00000600021	AC008267.1
NM_001167961	KCTD7
NM_001287061	RABGEF1
NM_017994	TMEM248
NM_016038	SBDS
NM_018264	TYW1
NM_015570	AUTS2
NM_022479	WBSCR17
NM_031468	CALN1
NM_001145440	TYW1B
NM_001257190	POM121
ENST00000594241	AC005488.1
NM_001168347	NSUN5
NM_001281451	TRIM50
NM_003602	FKBP6
NM_003508	FZD9
NM_032408	BAZ1B
NM_001301061	BCL7B
NM_012453	TBL2
NM_032951	MLXIPL
NM_001077621	VPS37D
NM_032317	DNAJC30
NM_001202560	WBSCR22
NM_004603	STX1A
NM_148912	ABHD11
NM_001306	CLDN3
NM_001305	CLDN4
NM_152559	WBSCR27
NM_182504	WBSCR28
NM_001278939	ELN
NM_002314	LIMK1
NM_022170	EIF4H
NM_014146	LAT2
NM_181471	RFC2
NM_003388	CLIP2
NM_001199207	GTF2IRD1
NM_032999	GTF2I
NM_000265	NCF1
NM_173537	GTF2IRD2
ENST00000361825	GATSL1
NM_030798	WBSCR16
NM_001003795	GTF2IRD2B
NM_001145064	GATSL2
ENST00000594196	AC006014.1
NM_198924	TRIM73
NM_198853	TRIM74
NM_001099415	POM121C
NM_001099435	SPDYE5
NM_005338	HIP1
NM_006072	CCL26
NM_002991	CCL24
NM_001040456	RHBDD2
NM_000941	POR
NM_031925	TMEM120A
NM_016086	STYXL1
NM_005918	MDH2
NM_001291831	SRRM3
NM_001540	HSPB1
NM_012479	YWHAG
NM_080744	SRCRB4D
NM_001110354	ZP3
NM_020892	DTX2
NM_030570	UPK3B
NM_012230	POMZP3
NM_020879	CCDC146
